Wall time,Step,Value
1672439759,12647,18
1672439795,12663,21
1672439856,12690,20
1672439976,12741,41
1672440035,12767,19
1672440101,12794,22
1672440193,12829,25
1672440199,12832,10
1672440224,12843,32
1672440232,12847,25
1672440339,12894,15
1672440375,12909,35
1672440508,12968,28
1672440668,13036,30
1672440719,13058,22
1672440754,13073,29
1672440804,13093,22
1672441044,13201,23
1672441068,13212,23
1672441096,13225,14
1672441106,13230,24
1672441159,13253,29
1672441246,13290,51
1672441314,13320,25
1672441458,13385,26
1672441569,13435,32
1672441678,13485,17
1672441700,13493,12
1672441717,13502,21
1672441725,13506,15
1672441859,13568,28
1672441982,13623,32
1672442009,13635,14
1672442042,13652,20
1672442120,13688,41
1672442241,13747,20
1672442304,13774,28
1672442330,13788,20
1672442370,13808,29
1672442393,13821,5
1672442480,13869,21
1672442609,13946,11
1672442646,13968,14
1672442666,13980,18
1672442764,14034,28
1672442788,14048,5
1672442845,14080,19
1672442855,14085,20
1672442863,14090,5
1672442868,14093,14
1672442872,14095,14
1672442885,14101,24
1672442925,14120,23
1672442980,14148,25
1672443138,14223,47
1672443198,14252,12
1672443225,14265,35
1672443244,14274,24
1672443253,14278,32
1672443257,14280,20
1672443285,14294,32
1672443346,14323,35
1672443368,14334,18
1672443420,14357,22
1672443431,14362,20
1672443486,14386,22
1672443512,14397,13
1672443532,14405,29
1672443629,14451,17
1672443681,14476,23
1672443745,14507,25
1672443760,14515,18
1672443765,14517,20
1672443804,14535,27
1672443860,14559,24
1672444007,14626,29
1672444015,14631,28
1672444046,14645,19
1672444295,14757,27
1672444319,14767,34
1672444323,14769,45
1672444352,14781,29
1672444400,14802,25
1672444403,14803,24
1672444447,14822,31
1672444478,14836,18
1672444497,14845,37
1672444526,14858,42
1672444534,14862,21
1672444589,14887,28
1672444605,14894,29
1672444655,14918,16
1672444718,14957,15
1672444724,14960,27
1672444772,14999,3
1672444809,15024,22
1672444979,15119,25
1672444994,15127,12
1672445004,15133,16
1672445169,15226,23
1672445219,15271,12
1672445239,15286,7
1672445288,15332,2
1672445305,15354,4
1672445317,15366,8
1672445344,15409,1
1672445347,15415,0
1672445348,15416,0
1672445363,15443,3
1672445372,15457,3
1672445372,15458,3
1672445441,15555,3
1672445467,15586,3
1672445469,15588,7
1672445471,15591,3
1672445475,15596,5
1672445508,15635,3
1672445655,15802,5
1672445675,15823,5
1672445699,15846,3
1672445703,15850,7
1672445716,15862,7
1672445733,15878,3
1672445734,15879,3
1672445765,15905,6
1672445767,15907,10
1672445787,15928,8
1672445810,15951,11
1672445811,15952,3
1672445826,15968,1
1672445921,16054,8
1672445950,16080,12
1672445953,16083,4
1672446052,16160,13
1672446095,16194,5
1672446107,16201,11
1672446138,16221,15
1672446177,16251,8
1672446212,16277,13
1672446241,16299,18
1672446275,16324,4
1672446287,16333,10
1672446290,16335,11
1672446317,16353,19
1672446382,16401,12
1672446489,16479,6
1672446552,16525,8
1672446617,16571,7
1672446771,16671,12
1672446804,16694,16
1672446825,16706,10
1672446844,16718,16
1672446872,16735,11
1672446874,16736,20
1672447034,16831,6
1672447064,16849,8
1672447072,16854,12
1672447158,16899,19
1672447163,16902,24
1672447187,16913,26
1672447277,16963,26
1672447473,17064,12
1672447497,17075,18
1672447550,17101,26
1672447568,17109,26
1672447614,17131,29
1672447618,17133,19
1672447632,17140,18
1672447701,17172,22
1672447726,17184,40
1672447732,17186,26
1672447749,17194,13
1672447760,17200,12
1672447805,17221,27
1672447906,17270,27
1672447972,17302,15
1672448020,17325,9
1672448061,17344,20
1672448144,17383,20
1672448221,17422,21
1672448266,17447,31
1672448287,17458,14
1672448304,17466,24
1672448398,17514,30
1672448495,17562,30
1672448644,17629,22
1672448725,17668,24
1672448761,17685,28
1672448807,17707,14
1672448822,17716,27
1672448933,17770,33
1672448970,17787,15
1672448988,17795,27
1672449020,17809,34
1672449030,17814,25
1672449111,17850,17
1672449125,17856,25
1672449160,17872,14
1672449239,17908,23
1672449254,17916,21
1672449329,17952,11
1672449353,17963,28
1672449401,17987,23
1672449429,17999,33
1672449520,18041,29
1672449558,18059,15
1672449590,18072,39
1672449677,18108,31
1672449681,18110,21
1672449690,18114,7
1672449849,18184,24
1672449853,18186,20
1672449860,18189,24
1672449895,18204,6
1672449910,18210,31
1672449913,18212,26
1672450069,18285,48
1672450138,18317,21
1672450236,18365,30
1672450246,18369,37
1672450357,18419,33
1672450383,18431,30
1672450492,18486,20
1672450534,18506,22
1672450572,18524,30
1672450621,18549,19
1672450646,18562,23
1672450705,18588,37
1672450763,18614,29
1672450824,18643,14
1672450850,18656,26
1672450899,18679,37
1672451040,18743,24
1672451141,18788,14
1672451190,18810,16
1672451206,18817,20
1672451245,18835,3
1672451286,18852,28
1672451461,18934,22
1672451613,19008,14
1672451711,19059,16
1672451845,19125,14
1672451881,19141,16
1672451894,19147,19
1672451901,19150,23
1672451926,19161,13
1672451931,19164,13
1672451974,19182,20
1672452052,19217,29
1672452057,19220,6
1672452088,19237,6
1672452121,19255,26
1672452160,19273,36
1672452409,19413,24
1672452452,19440,9
1672452497,19474,9
1672452498,19475,4
1672452532,19500,8
1672452543,19508,17
1672452623,19563,8
1672452642,19575,17
1672452679,19597,11
1672452700,19610,14
1672452919,19737,15
1672452943,19750,36
1672452953,19756,40
1672452957,19758,18
1672452967,19763,9
1672453067,19820,26
1672453094,19834,22
1672453129,19852,30
1672453292,19936,21
